--------------------Problem ID = 2--------run ID = 1------------------
function_IDs	3	2	2	1	4	1	4	1
correlation	0.738664	0.350648	0.342507	0.211952	0.373664	0.221516	0.394387	0.383245
gbest for task 0	-15.7454	-0.0872186	32.457	-11.2903	-24.7122	25.4298	-8.66718	0.289912	38.9207	16.3635	-7.43252	6.46742	8.5112	-27.5262	17.669	-15.6994	-12.0427	31.0279	34.4757	3.44061	-34.5868	-12.0744	-22.0698	-22.0382	24.9937	37.7386	-23.8184	-13.6135	25.2349	2.81603	22.177	-32.8421	-39.6028	12.3023	-1.80084	-21.9834	-4.59951	31.8636	20.6381	-8.01045	5.89552	-29.126	40.7886	-27.9249	-14.3205	16.126	-1.29269	15.9683	4.82227	-9.14864
gbest for task 1	-6.05018	-4.81456	13.5876	24.4823	-52.2291	11.6883	47.5028	9.82827	-51.4812	-5.86053	-48.932	40.4058	6.66896	37.9427	11.5764	19.5671	32.8722	-22.7179	49.3844	-21.1107	16.6322	51.5494	9.27765	-18.2797	29.8189	-38.762	-42.0236	-2.17395	52.7566	2.20979	-51.8713	-7.52045	51.6221	15.9432	-37.265	53.62	-26.5954	-43.9891	9.22133	-23.8497	4.37725	14.5162	-37.6708	-43.1807	-1.76797	28.1325	30.6133	-23.1227	-48.8124	25.7708
gbest for task 2	40.2346	21.2217	44.4601	15.711	-3.4157	-48.1314	16.409	54.7296	-0.758761	3.09453	-56.253	23.7893	-28.4921	36.596	-22.8078	-8.8627	-14.2602	50.0511	-3.42391	-30.1047	-50.4795	-31.1929	40.7427	58.0504	-3.47353	0.167251	54.3787	56.5021	55.7852	-34.9528	8.71164	35.396	46.8926	-7.45209	-9.51674	-17.1469	5.04029	-53.7315	-23.041	-56.3423	9.98682	-18.6702	28.0708	42.1185	-42.6981	-55.3607	-27.368	3.66557	55.3142	29.8319
gbest for task 3	-50.5928	30.0752	7.01731	8.74101	-54.6617	20.217	-39.0241	-40.3884	34.7992	-10.4365	36.3173	-61.7424	27.1405	-1.71287	27.847	-33.3084	-20.6405	43.3761	23.4085	-10.5174	54.9297	55.4896	-47.0752	-16.9139	-23.8932	59.4073	-0.992743	10.1213	-56.4456	-1.09292	-36.7575	-44.4526	-33.6035	32.8456	26.8742	-25.6794	-9.52317	50.436	-3.48202	-37.3098	-22.5863	-29.7505	-36.4664	-58.0316	31.1224	53.9664	-28.7542	-52.1039	34.7567	57.2401
gbest for task 4	-7.57983	20.2544	8.25257	64.3171	-33.3538	-38.9146	8.75957	-34.0692	-8.67461	-53.6433	52.3263	-48.2243	-17.1705	-56.6691	-44.9706	58.9243	-11.0046	62.4154	16.695	-13.0402	-73.6086	-3.92808	-31.5432	-50.9018	-25.1151	26.0737	-15.6271	16.5105	8.57077	-61.5258	-22.321	-72.6811	32.4006	59.6037	65.3081	72.7188	-52.9829	0.39558	-35.0224	12.0145	20.4243	-56.3682	37.4623	-70.4183	-39.3652	66.1637	62.1781	23.3022	54.9071	5.20109
gbest for task 5	8.41176	52.6976	25.2039	58.7651	76.5982	61.7894	57.9002	22.2416	-76.7345	-64.2349	3.2743	4.56949	59.9849	-12.16	24.7401	34.6213	55.4391	46.6361	-48.0214	77.5117	59.2439	-13.9638	27.0863	-22.7625	-51.3566	-63.9679	-36.9656	-68.3877	-39.8238	-30.0544	57.4472	47.9189	-56.6877	3.32019	27.353	-59.4203	-14.2213	5.92236	42.1521	-11.6249	21.0183	-33.9045	72.2755	1.67232	33.2664	17.6847	-43.0373	9.37465	-15.0101	-11.7278
gbest for task 6	10.9119	4.20148	-0.772749	-14.7807	-9.64298	-0.589792	12.9146	13.6243	-17.9396	1.3579	16.5942	-5.27337	19.2615	-11.8038	-17.9437	7.44994	1.54449	-11.5091	8.61258	10.6571	-15.8959	4.86702	11.4832	-5.88905	-0.47855	-9.50096	4.85301	6.47211	-18.7192	-13.4887	14.5205	12.2932	10.8132	-6.35267	17.6129	-18.9302	13.158	10.4271	14.7946	15.3188	-8.31538	11.2884	-10.055	-9.15426	19.585	-7.89836	18.3961	1.02905	0.692924	6.90826
gbest for task 7	-27.8993	21.778	-24.2691	24.9202	-23.601	15.4282	25.8117	-37.7409	-40.3769	-24.7851	-16.7691	-6.22949	30.4643	13.8844	-39.378	31.7472	2.18634	8.72903	29.7576	-14.0892	-7.37967	35.1808	-26.7348	-12.788	4.11889	22.191	-11.566	20.2767	-9.76822	20.2834	-28.4472	4.19372	0.200194	-10.8551	-12.7473	18.4604	-37.2881	-28.7968	22.5807	-35.8038	-11.7207	-36.0496	-0.172119	-23.1176	19.696	2.31108	-33.2316	-19.9788	-30.8211	38.3872
task_IDs	0	1	2	3	4	5	6	7
--------------------Problem ID = 1--------run ID = 1------------------
function_IDs	4	3	3	2	4	2	2	1
correlation	0.465995	0.738664	0.607916	0.350648	0.416831	0.342507	0.32191	0.211952
gbest for task 0	-30.8767	-17.1358	-9.38588	5.55939	-31.6036	-23.9659	30.8025	8.70543	2.91439	25.9566	-5.99496	-11.7581	-28.438	15.696	-11.7013	-18.0333	24.0973	16.2987	30.7053	8.74701	-1.55154	-7.85891	9.76309	13.973	31.9454	-3.6642	-14.7366	-21.2225	2.35412	1.75409	-0.389287	3.78609	16.927	22.5335	-22.9632	17.632	30.8763	-24.4694	-5.97123	1.48205	-30.8214	20.3425	22.0327	-26.9507	3.72985	-21.9773	-12.6754	-4.48157	26.6301	-14.2788
gbest for task 1	-15.7454	-0.0872186	32.457	-11.2903	-24.7122	25.4298	-8.66718	0.289912	38.9207	16.3635	-7.43252	6.46742	8.5112	-27.5262	17.669	-15.6994	-12.0427	31.0279	34.4757	3.44061	-34.5868	-12.0744	-22.0698	-22.0382	24.9937	37.7386	-23.8184	-13.6135	25.2349	2.81603	22.177	-32.8421	-39.6028	12.3023	-1.80084	-21.9834	-4.59951	31.8636	20.6381	-8.01045	5.89552	-29.126	40.7886	-27.9249	-14.3205	16.126	-1.29269	15.9683	4.82227	-9.14864
